unique_id,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,mean_bfi_a,mean_bfi_c,mean_bfi_e,mean_bfi_n,mean_bfi_o,IAT_score,exclusion
289105,32,m,2,4,4,4,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,4,5,5,3.7777777777777777,NA,NA,NA,5,-0.41412080867733414,include
291619,22,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,3,6,4,NA,4,3,6,2,4,5,3,4,3,5,1,3,3,6,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3.125,NA,-0.23352539061661481,exclude
293517,21,f,3,3,4,4,6,3,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,3,4,5,4,NA,NA,NA,4.5,-0.29442305273105995,include
296088,49,m,6,5,4,6,6,3,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,4,6,4,5.222222222222222,NA,NA,NA,4.2,-0.2674100491713677,include
310835,30,m,2,3,3,3,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,5,6,6,2.7777777777777777,NA,NA,NA,4.3,-0.5754700685311114,include
310981,52,m,4,6,5,5,6,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,2,6,5,4.777777777777778,NA,NA,NA,4.7,-0.6946936015261722,include
311817,48,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,6,6,5,6,6,5,2,6,5,5,6,6,5,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.333333333333333,5,1.25,NA,-0.42949800321825277,include
316021,34,m,3,6,6,6,5,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,6,6,1,4.222222222222222,NA,NA,NA,4.5,-0.1577835187770125,include
314655,19,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,2,5,3,5,5,3,6,2,4,1,2,5,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.444444444444445,4.125,3.125,NA,-0.5061878271967456,include
329537,17,m,2,3,2,3,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,4,5,3,2.888888888888889,NA,NA,NA,4.1,-0.36196787306876493,include
337414,31,f,3,4,3,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,3,4,3,3.6666666666666665,NA,NA,NA,3.2,-0.16750006673964254,include
339121,29,m,3,6,4,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,6,5,5,5.333333333333333,NA,NA,NA,4.6,-0.31956271782791773,include
343954,21,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,6,6,5,4,6,5,4,5,2,6,6,6,4,5,2,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2.625,NA,-0.21752741539003911,include
347838,21,f,2,5,3,4,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,3,4,NA,3.2222222222222223,NA,NA,NA,4.222222222222222,-0.7883258777157188,exclude
348671,26,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,3,3,4,2,2,2,2,3,2,2,2,3,4,5,4,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.888888888888889,2.25,4.125,NA,-0.3514639286826512,include
